店铺名称,类别,全类别,评分,人均消费,所属片区,纬度,经度,详细地址,优惠套餐情况,营业时间,联系电话,累计售出份数,餐厅简介,特色菜
星伦多海鲜自助餐厅(江桥万达店),自助海鲜,5,江桥,31.240244,121.324934,嘉定区华江路848号江桥万达广场百货楼5楼5001铺位（金运路地铁站东）,单人晚餐65元起;,"周六,周日 11:00-14:00 17:00-21:00  周一至周五 11:00-13:30 17:30-20:30",021-60766700,709439,多伦多海鲜自助餐厅，是西部牛扒城餐饮集团旗下又一集各种特色餐饮为一体的全新大型自助餐厅。餐厅融汇各国名菜之精华，不但有博大精深的东方饮食文化的熏陶，更有风味独特的东南亚美食。让每一位用餐者都能找到合适自己的口味。原木色沙发的餐位，充满艺术的布置，精致的中西餐具，在灿烂的水晶灯下显得格外优雅。,
荣新馆(兴义路2号店),日式自助,5,虹桥/古北,31.204525,121.404079,长宁区兴义路48号新世纪广场B座一楼（近娄山关路）,其他370元;,"周六,周日 11:00-14:00 17:30-23:00  周一至周五 11:30-14:00 17:30-23:00",021-32230850/021-62789778,463552,,
新石器烤肉(南汇欧尚店),融合烤肉,5,惠南镇,31.048723,121.73456,浦东新区人民西路955号欧尚超市1层,单人餐8元起，双人餐172元，3-4人餐268元;,周一至周日 10:30-21:30,021-20959230,83549,始于八千年前的新石器时代是人类原始氏族的繁荣时期。磨制石器，使用工具。穿越回古老的丛林，感受质朴的肉香，向自然更近一步。现如今，新石器再崛起，在现代儒雅的环境中，体味DIY炙烤带来的乐趣。新石器烤肉品牌自1999年创立以来，在传统烤肉工艺的基础上，吸取众家之长，以精选的肉质保证烤肉的营养，配以独特的腌料和蘸料使所烤制的食物更加鲜美、嫩爽。为满足不同食客的需求，不段推陈出新，除传统烤肉以外，新石器烤肉还提供各种蔬菜及海鲜。美味的菜品，贴近大众的价格，优质的服务，优雅的就餐环境，是新石器崛起的基本点，也是您完成温馨穿越的保证。,
九鼎轩脆毛肚火锅(南京东路店),重庆火锅,5,人民广场/南京路,31.235925,121.477753,黄浦区浙江中路399号一楼春申江大厦对面（步行街永安百货左侧30米）,9.2折（买单立享）;单人餐11元，2-3人餐169元，4-5人餐368元;11代100元，47代50元;,周一至周日 10:30-03:00,021-63150897,201218,,
渝利火锅(开元地中海店),重庆火锅,5,开元地中海,31.03799,121.21861,松江区新松江路927弄开元地中海商业广场4层,每满100减2，每满100减2（买单立享）;单人餐1元起，双人餐19.8元起，2-3人餐188元，4-5人餐228元;1.9代50元;,周一至周日 11:00-24:00,021-61273988,128660,渝利火锅，源自重庆的味道，正宗重庆牛油火锅，在重庆拥有六家分店的渝利火锅于2012年初入驻上海浦东九六广场，店内装修简约时尚，并有适合宴请和聚餐的商务包房，渝利火锅制作火锅锅底的辣椒、花椒、香料及牛油等原材料均采购自重庆，厨师团队也由重庆总部派驻，重庆火锅特色毛肚、鸭肠、黄喉等大部分火锅食材每天从重庆空运自上海，从而确保渝利火锅能秉承重庆正宗牛油火锅的麻辣鲜香。,
壹泰东南亚主题餐厅(州桥店),泰国菜,5,嘉定镇,31.3842,121.2514,嘉定区嘉定镇南下塘街16号,双人餐138元，4人餐268元;75代100元，85代100元;,周一至周日 10:00-22:00,021-59929111,150542,,
汉巴味德自助餐厅(嘉定宝龙广场店),综合自助,5,嘉定新城,31.344761,121.260849,嘉定区阿克苏路1099号宝龙城市广场三楼319号,单人午餐109元，单人午/晚餐109元;,"周一至周五 11:30-21:30  周六,周日 11:00-21:30",021-61207676,133694,,
七欣天品蟹轩(上海青浦沙埭浜路店),海鲜火锅,5,青浦城区,31.15317,121.119969,青浦区沙埭浜路35号-39号,双人餐19元;90代100元;,周一至周日 09:00-03:00,021-59205177,88524,“波格力蟹”是七欣天注册国家发明专利配方菜肴，波格力蟹的命名，来源于缅甸一个盛产螃蟹的“博葛礼”海域。波格力蟹强壮、生猛，被寓意为有战斗力的“螃蟹”。 苏州市七欣天餐饮管理连锁有限公司，起源于2001年，“迷宗蟹”的创始者。主营缅甸野生海蟹，吃完蟹再加高汤，一锅两吃，营养兼备，堪称一绝。被行业广为模仿后于更名为“BOGELIXIE（波格力蟹）”，寓意为有战斗力的螃蟹。本公司秉承着诚信、拼搏、创新、超越的企业经营理念，截止到2012年现已在江浙沪地区开设105家直营店，是一家大型餐饮连锁企业。七欣天波格力蟹，天天空运，活蟹现杀，特选秘料，配合精湛厨艺，百味相浸，回味无穷。公司于2010年取得ISO22000国际食品安全管理体系和ISO9001国际质量管理体系认证，先后荣获中华名火锅，全国餐饮业名牌企业， 国家发明专利配方菜肴（专利号：ZL 2010 0166942.9），中国餐饮百强企业。,
外婆家(百联又一城店),杭帮菜,5,五角场/大学区,31.301143,121.51621,杨浦区淞沪路8号（百联又一城6楼G09-F06-1-021）,满100减5（买单立享）;双人餐9.9元起，4人餐198元;90代100元;,周一至周日 10:30-14:00 16:30-21:00,021-55583318,90460,,
東盛自助料理(南京东路店),自助餐,5,南京东路,31.236661,121.483631,黄浦区南京东路353号悦荟广场6楼601室地铁2/10号线南京东路站1号口3号口出,单人午餐107.9元，单人晚餐127.9元;,"周六,周日 10:30-22:30  周一至周五 11:00-14:30 17:00-22:30",021-63333119/021-63333120,100133,,
