店铺名称,页面id,类别,品牌名称,品牌id,品牌logo,评分,平均价格,最低价格,所属地区,地区Id,纬度,经度,详细地址,楼层,地铁站id,停车信息,优惠套餐情况,营业时间,联系电话,累计售出份数,餐厅简介,特色菜,是否小吃,有无外卖,上周订单数,历史订单数,wifi,支持预定
印象豆捞自助烤肉火锅,1180597,自助火锅,印象豆捞自助烤肉火锅,1650592,,3.5,42,49.9,解放西/泰龙城,5312,20.038571,110.338271,龙华区解放西路个体大世界3楼,,,停车位收费标准：大同宾馆可停车 5元/1次,单人午餐49.9元，单人午/晚餐59.8元，双人午餐88元，双人午/晚餐118元，单人午餐196元，单人午/晚餐236元;,周一至周日 11:00-14:00 17:00-22:00,0898-66102206,383415,印象豆捞位于解放西路23号个体大世界商场3楼（友谊商城对面），交通便利，环境优美，环境大气而精致，宽敞而明亮的环境让前去用餐的消费者心情舒适，而时尚雅致的装修也会带给每位前来消费的顾客一个愉悦的心情。,,False,0,676,383415,True,False
圣琼美食百汇自助餐厅(金丽城店),81219161,综合自助,,0,,4.1,53,52.8,人民公园,5312,20.037278,110.336801,龙华区龙华路金丽城2楼,,,,单人午餐52.8元，单人午/晚餐62.8元;,周一至周日 11:00-16:00 17:00-22:00,0898-66245677,317642,,,False,0,456,317642,False,False
爱尚客韩式烤肉自助餐厅,99706080,综合自助,,0,,4.1,54,45.9,京华城,5312,20.027528,110.31748,龙华区玉沙路京华城C区3楼c006-1,3,,停车位收费标准：商场有停车地方,单人午餐45.9元，单人晚餐55.9元;,周一至周日 11:00-22:00,0898-68500328,247665,,,False,0,1217,247665,True,False
亿鑫哇哇香火锅(朱云店),110345781,四川火锅,,0,,3.9,41,66.9,红城湖,5315,20.00322,110.34996,琼山区朱云路与红城湖路交叉口南行100米路西,,,,双人餐66.9元起，2-3人餐68元，4人餐86.9元起，5-6人餐99.9元，5-6人餐128元;,周一至周日 11:00-06:00,0898-65884552,214594,,,False,1,1459,214594,False,False
海岛八号龙虾烧烤田鸡(蓝天路总店),5965949,小龙虾,海岛8號十三香小龙虾,2438166,,4,49,59.9,蓝天路沿线,5313,20.021919,110.344999,美兰区蓝天路15号蓝天路酒吧一条街113、114、115号铺面,,,,2-3人餐59.9元，109.9元招牌小龙虾;,周一至周日 17:30-03:30,0898-65303730,211163,海岛8號音乐吧，是一家不可多得的空中花园音乐吧， 安静且舒适的环境，休闲放松为主题，150寸大屏高清荧幕观看世界杯，感受激情7月。我们为消费者倾力打造一个可以畅享呼吸新鲜空气的好场所，并始终以优良的服务和品质赢得了顾客的信赖，并以您的满意为目的，欢迎大家光临。 繁星下夜空在此品茗着果汁，及各类特色饮品的馨香，享受心灵的舒适，缓解工作生活的压力，感受生活的美好。,,False,1,124,211163,True,False
味道呱呱叫火锅饭店(龙华总店),1484162,川味火锅,,0,,4,50,89.9,亿圣和广场,5313,20.027641,110.339017,龙华区海秀东路13号（彩虹天桥旁，大同路路口）,,,免费提供20个停车位,3-4人餐89.9元;,周一至周日 全天,0898-66797789,210938,味道呱呱叫火锅饭店位于海口市大同路和海秀东路交叉的核心地位（市九中公交站旁），毗邻海口鸿运大酒店。店内主营各种川湘口味菜肴。其中以香辣蛙和猪肚包鸡最为出名，已经在海南做出了属于呱呱叫自己的独特口味，得到广大食客的肯定。本店本着对美味的孜孜追求，积极吸取消费者的意见和建议，同时商家开通微博接受消费者的监督和指导。店内环境和品味在不断得到完善。商家保证所售菜品均足斤足两。,,False,0,1051,210938,True,False
隔壁子串串香(文明中路店),40185259,串串香,,0,,3.9,58,0.8,文明路/和平路,5313,20.039721,110.350517,美兰区文明中路125号勤工俭学大楼2层203室（文明中路市中医院旁边，工商银行正对面）,,,,88元海口_隔壁子串串香2人餐，198元隔壁子串串香3-4人餐;0.8代1元，88代100元;,周一至周日 11:00-23:00,0898-66113919,156230,,,False,0,4,156230,True,False
香辣美,1178532,四川火锅,,0,,4,39,65,东湖,5312,20.034495,110.347849,美兰区海府路1号东昇楼院内,,,免费停车,双人餐65元，3-4人餐88元，3-4人餐88元，4人餐89.9元起，6人餐185元;,周一至周日 11:00-05:00,0898-65391546,139239,,,False,1,502,139239,True,False
隐泉の源,1576858,综合自助,,0,,4.1,171,198,金龙路,5312,20.02814,110.319478,龙华区玉沙路京华城3楼A座1号铺,3,,免费提供200个停车位,单人午餐198元，单人晚餐218元，单人晚餐418元，单人晚餐608元;,周一至周日 11:00-14:30 17:30-21:30,0898-68532390,138115,隐泉の源是一家以连锁形式经营的铁板烧专门店，本店的特色铁板烧，创意寿司已成为行业中的一大亮点，深受广大食客的亲睐，真真的做到了家喻户晓，老少皆宜，是一个朋友聚会，家庭聚餐的理想场所。“取以天然、佐之精简、逗留齿类的曼妙、回味幽远；泉心于眼、泉眼是源、常驻心田的牵挂、寻根启源。,,False,0,242,138115,True,False
薇薇安千层蛋糕(上邦百汇城店),95600942,面包蛋糕,,0,,4.3,18,16.9,上邦百汇城,5312,20.02131,110.32223,龙华区金龙路隆仟百货一楼W3号铺位（肯德基正门对面）,1,,,16.9元千层蛋糕切件，75元蛋糕3选1，122.9元蛋糕8选1;29.9代38元;,周一至周日 10:00-22:30,17766969680,120937,,,False,1,1,120937,True,False
